Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Clearsky DHI,Clearsky DNI,DHI,GHI,DNI,Solar Zenith Angle,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2022,1,1,0,30,22.5,0,0,0,0,0,0,113.18,0.7000000000000001,0.0000,0.0000
2022,1,1,1,30,21.5,0,0,0,0,0,0,126.12,0.7000000000000001,0.0000,0.0000
2022,1,1,2,30,20.3,0,0,0,0,0,0,139.27,0.7000000000000001,0.0000,0.0000
2022,1,1,3,30,19.3,0,0,0,0,0,0,152.49,0.8,0.0000,0.0000
2022,1,1,4,30,18.6,0,0,0,0,0,0,165.52,0.9,0.0000,0.0000
2022,1,1,5,30,18.1,0,0,0,0,0,0,174.94,0.9,0.0000,0.0000
2022,1,1,6,30,17.5,0,0,0,0,0,0,165.62,0.9,0.0000,0.0000
2022,1,1,7,30,16.900000000000002,0,0,0,0,0,0,152.6,1,0.0000,0.0000
2022,1,1,8,30,16.3,0,0,0,0,0,0,139.37,1,0.0000,0.0000
2022,1,1,9,30,16,0,0,0,0,0,0,126.22,1,0.0000,0.0000
2022,1,1,10,30,15.8,0,0,0,0,0,0,113.28,1,0.0000,0.0000
2022,1,1,11,30,15.9,0,0,0,0,0,0,100.66,1,0.0000,0.0000
2022,1,1,12,30,17.900000000000002,19,15,128,15,19,128,88.24,1.6,0.0000,0.0000
2022,1,1,13,30,21.200000000000003,187,53,600,53,187,600,77.14,2.5,8.9930,6.8840
2022,1,1,14,30,24.3,376,65,797,65,376,797,67.02,3.3000000000000003,19.7444,15.3406
2022,1,1,15,30,26.6,531,68,890,68,531,890,58.69,3.9000000000000004,29.4935,23.0516
2022,1,1,16,30,27.900000000000002,631,69,935,69,631,935,53.050000000000004,4,36.0175,28.2174
2022,1,1,17,30,28.6,665,71,944,71,665,944,51,3.9000000000000004,38.2732,30.0045
2022,1,1,18,30,28.900000000000002,631,74,925,74,631,925,52.980000000000004,3.8000000000000003,36.0281,28.2264
2022,1,1,19,30,28.6,533,71,886,71,533,886,58.56,3.6,29.6258,23.1565
2022,1,1,20,30,27.700000000000003,381,63,809,63,381,809,66.85,3.2,20.0343,15.5684
2022,1,1,21,30,25.3,194,48,646,48,194,646,76.95,2.3000000000000003,9.3414,7.1532
2022,1,1,22,30,22.700000000000003,24,18,186,18,24,186,88.05,1.5,0.0000,0.0000
2022,1,1,23,30,21.400000000000002,0,0,0,0,0,0,100.44,1.5,0.0000,0.0000
2022,1,2,0,30,20.6,0,0,0,0,0,0,113.05,1.6,0.0000,0.0000
2022,1,2,1,30,20,0,0,0,0,0,0,125.99000000000001,1.7000000000000002,0.0000,0.0000
2022,1,2,2,30,19.6,0,0,0,0,0,0,139.14000000000001,1.8,0.0000,0.0000
2022,1,2,3,30,19.200000000000003,0,0,0,0,0,0,152.36,1.9000000000000001,0.0000,0.0000
2022,1,2,4,30,18.900000000000002,0,0,0,0,0,0,165.38,1.9000000000000001,0.0000,0.0000
2022,1,2,5,30,18.7,0,0,0,0,0,0,174.85,2,0.0000,0.0000
2022,1,2,6,30,18.5,0,0,0,0,0,0,165.68,2,0.0000,0.0000
2022,1,2,7,30,18.3,0,0,0,0,0,0,152.67000000000002,2,0.0000,0.0000
2022,1,2,8,30,18.1,0,0,0,0,0,0,139.45000000000002,2,0.0000,0.0000
2022,1,2,9,30,18,0,0,0,0,0,0,126.3,2,0.0000,0.0000
2022,1,2,10,30,17.8,0,0,0,0,0,0,113.34,2,0.0000,0.0000
2022,1,2,11,30,18.1,0,0,0,0,0,0,100.72,2.1,0.0000,0.0000
2022,1,2,12,30,19.8,20,16,135,16,20,135,88.28,2.8000000000000003,0.0000,0.0000
2022,1,2,13,30,22.5,188,53,609,53,188,609,77.17,3.7,9.0394,6.9191
2022,1,2,14,30,25,374,74,769,74,374,769,67.03,4.2,19.6378,15.2576
2022,1,2,15,30,27,523,88,837,93,514,809,58.67,4.3,28.5525,22.3163
2022,1,2,16,30,28.3,621,91,881,117,535,694,52.99,4.2,30.5455,23.9310
2022,1,2,17,30,29.1,654,92,891,152,549,629,50.910000000000004,4.1000000000000005,31.6079,24.7799
2022,1,2,18,30,29.400000000000002,619,91,875,91,619,875,52.86,4.1000000000000005,35.3608,27.7047
2022,1,2,19,30,29.1,522,86,832,107,501,752,58.43,4,27.8669,21.7831
2022,1,2,20,30,28.1,372,77,745,77,372,745,66.71000000000001,3.8000000000000003,19.5830,15.2197
2022,1,2,21,30,26.1,188,58,568,58,188,568,76.81,3,9.0613,6.9405
2022,1,2,22,30,24,23,18,129,18,22,119,87.92,2.4000000000000004,0.0000,0.0000
2022,1,2,23,30,22.6,0,0,0,0,0,0,100.3,2.4000000000000004,0.0000,0.0000
2022,1,3,0,30,21.8,0,0,0,0,0,0,112.92,2.5,0.0000,0.0000
2022,1,3,1,30,21.1,0,0,0,0,0,0,125.86,2.7,0.0000,0.0000
2022,1,3,2,30,20.700000000000003,0,0,0,0,0,0,139.01,3.2,0.0000,0.0000
2022,1,3,3,30,20.5,0,0,0,0,0,0,152.23,3.5,0.0000,0.0000
2022,1,3,4,30,20.5,0,0,0,0,0,0,165.25,3.7,0.0000,0.0000
2022,1,3,5,30,20.400000000000002,0,0,0,0,0,0,174.76,3.8000000000000003,0.0000,0.0000
2022,1,3,6,30,20.3,0,0,0,0,0,0,165.74,3.9000000000000004,0.0000,0.0000
2022,1,3,7,30,20.3,0,0,0,0,0,0,152.75,3.9000000000000004,0.0000,0.0000
2022,1,3,8,30,20.5,0,0,0,0,0,0,139.52,3.8000000000000003,0.0000,0.0000
2022,1,3,9,30,20.3,0,0,0,0,0,0,126.37,4.2,0.0000,0.0000
2022,1,3,10,30,19.200000000000003,0,0,0,0,0,0,113.41,4.9,0.0000,0.0000
2022,1,3,11,30,17.400000000000002,0,0,0,0,0,0,100.77,5.2,0.0000,0.0000
2022,1,3,12,30,16.3,17,15,63,15,17,63,88.32000000000001,5.300000000000001,0.0000,0.0000
2022,1,3,13,30,16.6,181,68,510,68,181,510,77.2,5.7,8.7011,6.6598
2022,1,3,14,30,17.3,378,82,758,82,378,758,67.03,5.800000000000001,19.8478,15.4208
2022,1,3,15,30,17.8,544,85,882,85,544,882,58.64,5.5,30.2239,23.6230
2022,1,3,16,30,18.400000000000002,656,85,947,85,656,947,52.93,5,37.4634,29.3514
2022,1,3,17,30,19,698,82,975,82,698,975,50.81,4.6000000000000005,40.2017,31.5182
2022,1,3,18,30,19.400000000000002,666,79,970,79,666,970,52.74,4.2,38.0647,29.8245
2022,1,3,19,30,19.200000000000003,566,72,939,72,566,939,58.29,3.7,31.5063,24.6297
2022,1,3,20,30,18.6,409,65,866,65,409,866,66.57000000000001,3.3000000000000003,21.5547,16.7543
2022,1,3,21,30,16.6,213,50,707,50,213,707,76.67,2.3000000000000003,10.2764,7.8732
2022,1,3,22,30,14.3,29,20,234,20,29,234,87.78,1.6,0.0000,0.0000
2022,1,3,23,30,13.100000000000001,0,0,0,0,0,0,100.17,1.9000000000000001,0.0000,0.0000
2022,1,4,0,30,12.600000000000001,0,0,0,0,0,0,112.78,2.3000000000000003,0.0000,0.0000
2022,1,4,1,30,12,0,0,0,0,0,0,125.73,2.6,0.0000,0.0000
2022,1,4,2,30,11.4,0,0,0,0,0,0,138.88,2.8000000000000003,0.0000,0.0000
2022,1,4,3,30,10.600000000000001,0,0,0,0,0,0,152.1,3,0.0000,0.0000
2022,1,4,4,30,9.9,0,0,0,0,0,0,165.11,3,0.0000,0.0000
2022,1,4,5,30,9.200000000000001,0,0,0,0,0,0,174.65,2.9000000000000004,0.0000,0.0000
2022,1,4,6,30,8.700000000000001,0,0,0,0,0,0,165.8,2.9000000000000004,0.0000,0.0000
2022,1,4,7,30,8.3,0,0,0,0,0,0,152.82,3,0.0000,0.0000
2022,1,4,8,30,8.1,0,0,0,0,0,0,139.6,2.9000000000000004,0.0000,0.0000
2022,1,4,9,30,8.200000000000001,0,0,0,0,0,0,126.43,3,0.0000,0.0000
2022,1,4,10,30,8.5,0,0,0,0,0,0,113.47,3,0.0000,0.0000
2022,1,4,11,30,9,0,0,0,0,0,0,100.82000000000001,3,0.0000,0.0000
2022,1,4,12,30,10.4,19,16,96,16,19,96,88.34,3.2,0.0000,0.0000
2022,1,4,13,30,13.4,185,63,553,63,185,553,77.21000000000001,3.3000000000000003,8.8928,6.8064
2022,1,4,14,30,17.2,376,82,752,82,376,752,67.02,3.2,19.7444,15.3406
2022,1,4,15,30,20.6,531,91,845,91,531,845,58.61,3.1,29.5065,23.0627
2022,1,4,16,30,22.8,630,96,885,225,468,403,52.86,2.8000000000000003,26.7348,20.9464
2022,1,4,17,30,23.700000000000003,665,98,896,277,479,319,50.71,2.4000000000000004,27.5988,21.6381
2022,1,4,18,30,24,632,94,885,217,512,486,52.6,2.4000000000000004,29.2800,22.9425
2022,1,4,19,30,24,535,89,846,211,256,86,58.15,2.6,14.2610,11.1491
2022,1,4,20,30,23.3,383,78,763,78,383,763,66.42,2.5,20.2084,15.7101
2022,1,4,21,30,21.5,197,59,592,63,192,552,76.52,2,9.2734,7.1067
2022,1,4,22,30,19.8,26,20,156,20,26,156,87.65,2,0.0000,0.0000
2022,1,4,23,30,18.7,0,0,0,0,0,0,100.02,2.4000000000000004,0.0000,0.0000
2022,1,5,0,30,17.900000000000002,0,0,0,0,0,0,112.64,2.5,0.0000,0.0000
2022,1,5,1,30,17.2,0,0,0,0,0,0,125.59,2.1,0.0000,0.0000
2022,1,5,2,30,16.2,0,0,0,0,0,0,138.75,1.5,0.0000,0.0000
2022,1,5,3,30,15.3,0,0,0,0,0,0,151.97,1.1,0.0000,0.0000
